"관측일자","지점명","평균기온(℃)","최저기온(℃)","최대기온(℃)","평균습도(%)","최저습도(%)","최고습도(%)","평균풍속(m/s)","최대풍속(m/s)","강수량(mm)"
"20170101","강남","3.20000004768372","-0.5","6.90000009536743","76.3000030517578","64.6999969482422","86.4000015258789","0.100000001490116","1.29999995231628","0"
"20170101","강동","3.59999990463257","-0.699999988079071","7.5","78.0999984741211","67.0999984741211","88.3000030517578","0.5","2.5","0"
"20170101","강북","3.70000004768372","0","7.30000019073486","78.1999969482422","68.9000015258789","87.5","0.699999988079071","2.29999995231628","0"
"20170101","강서","4.59999990463257","1.29999995231628","7.90000009536743","77.8000030517578","70.5","85.6999969482422","1.20000004768372","2.90000009536743","0"
"20170101","관악","4.40000009536743","0.699999988079071","7.90000009536743","68.5","57.7000007629395","78.5","0.300000011920929","1.79999995231628","0"
"20170101","광진","3.70000004768372","-0.600000023841858","8.30000019073486","77.6999969482422","64","88.6999969482422","0.699999988079071","3","0"
"20170101","구로","4.5","1.10000002384186","8","77.6999969482422","67.0999984741211","87","0.899999976158142","3.5","0"
"20170101","금천","4.80000019073486","0.899999976158142","8.39999961853027","74.5","61","85.6999969482422","0.600000023841858","3.20000004768372","0"
"20170101","남산","3.5","-0.100000001490116","7.5","77.3000030517578","66.8000030517578","87.8000030517578","1","2.29999995231628","0"
"20170101","노원","3.59999990463257","-0.699999988079071","7.90000009536743","79.3000030517578","66.5","91.5999984741211","0","0.899999976158142","0"
"20170101","도봉","2.5","-2.5","7.59999990463257","79.6999969482422","64","93.4000015258789","0.200000002980232","3","0"
"20170101","동대문","3.5","-0.699999988079071","7.69999980926514","77.3000030517578","65.9000015258789","88.5","1.20000004768372","2.70000004768372","0"
"20170101","동작","4.30000019073486","0.699999988079071","7.90000009536743","77.4000015258789","68.0999984741211","87.4000015258789","1.29999995231628","2.79999995231628","0"
"20170101","마포","4.30000019073486","0.400000005960464","7.80000019073486","78.3000030517578","69.1999969482422","88.9000015258789","0.699999988079071","2.70000004768372","0"
"20170101","서대문","4.19999980926514","0.899999976158142","7.19999980926514","73.8000030517578","65.5999984741211","83.1999969482422","1.79999995231628","4.19999980926514","0"
"20170101","서초","4.30000019073486","0.300000011920929","8.39999961853027","78.4000015258789","65.0999984741211","90.1999969482422","0.800000011920929","2.29999995231628","0"
"20170101","성동","3.5","-0.600000023841858","8.60000038146973","78.5","59.5999984741211","91.0999984741211","1","2.5","0"
"20170101","성북","3.5","-0.100000001490116","7.19999980926514","77","67.4000015258789","86.5999984741211","0.600000023841858","2.40000009536743","0"
"20170101","송파","3.09999990463257","-1.39999997615814","7.59999990463257","79","65.4000015258789","91.9000015258789","0.400000005960464","2","0"
"20170101","양천","4.80000019073486","0.899999976158142","8.89999961853027","75.5","63.5","85.6999969482422","0.800000011920929","3.09999990463257","0"
"20170101","영등포","4.69999980926514","1.20000004768372","8.69999980926514","76.0999984741211","67.1999969482422","84.5","1.29999995231628","3","0"
"20170101","용산","3.90000009536743","-0.200000002980232","8.10000038146973","54.2000007629395","45.7000007629395","65.6999969482422","0.699999988079071","2.5","0"
"20170101","은평","4.19999980926514","0.699999988079071","7.59999990463257","76","66.5999984741211","84.3000030517578","1.60000002384186","3.20000004768372","0"
"20170101","종로","4.40000009536743","0.899999976158142","8.19999980926514","73.6999969482422","65.3000030517578","80.8000030517578","0.400000005960464","2.09999990463257","0"
"20170101","중구","2.90000009536743","-1.20000004768372","7.19999980926514","76.1999969482422","64.3000030517578","87","0.5","1.79999995231628","0"
"20170101","중랑","3.70000004768372","-0.300000011920929","7.90000009536743","77.5999984741211","66.3000030517578","86.9000015258789","0.699999988079071","2.5","0"
"20170102","강남","6.09999990463257","3.59999990463257","9.30000019073486","75.5","61","87.6999969482422","0.899999976158142","3.70000004768372","0"
"20170102","강동","6.40000009536743","4.19999980926514","9.60000038146973","77.5999984741211","63.2999992370605","90.0999984741211","1.5","5.69999980926514","0"
"20170102","강북","6.19999980926514","3.90000009536743","10","78.5999984741211","63.2000007629395","89.8000030517578","1.20000004768372","4.69999980926514","0"
"20170102","강서","6.5","2.29999995231628","9.19999980926514","80.5","67.5","88.8000030517578","1.39999997615814","4.19999980926514","0"
"20170102","관악","6.80000019073486","3.90000009536743","9.60000038146973","67.9000015258789","51.7999992370605","82.3000030517578","1.29999995231628","4.09999990463257","0"
"20170102","광진","6.69999980926514","4.59999990463257","9.80000019073486","76.5","61.7999992370605","88.3000030517578","1.39999997615814","4.19999980926514","0"
"20170102","구로","6.69999980926514","3.40000009536743","9.69999980926514","78.5","61.7999992370605","90.5","1.79999995231628","5.90000009536743","0"
"20170102","금천","7","4.19999980926514","9.60000038146973","74.5","61","85.5","1.89999997615814","5","0.5"
"20170102","남산","5.80000019073486","2.5","9","79.3000030517578","62.7999992370605","92.6999969482422","1.20000004768372","4.59999990463257","0"
"20170102","노원","6.59999990463257","4.19999980926514","9.60000038146973","77.0999984741211","61.5999984741211","91.5999984741211","0.600000023841858","3.59999990463257","0"
"20170102","도봉","5.80000019073486","3","9.89999961853027","75.9000015258789","59.5","90.6999969482422","0.400000005960464","3.29999995231628","0"
"20170102","동대문","6.19999980926514","4","9.39999961853027","78.0999984741211","64.3000030517578","91.0999984741211","1.60000002384186","5.5","0"
"20170102","동작","6.80000019073486","3.5","10.5","77.8000030517578","60.5","89.3000030517578","2","5.19999980926514","0"
"20170102","마포","6.40000009536743","2.5","9.39999961853027","81.8000030517578","67.5","91.5999984741211","1.20000004768372","4.40000009536743","0"
"20170102","서대문","6.19999980926514","2.29999995231628","9.19999980926514","77.8000030517578","63.4000015258789","89.0999984741211","1.39999997615814","4.80000019073486","0"
"20170102","서초","7.40000009536743","4.69999980926514","10.6000003814697","74.6999969482422","58.2000007629395","94.1999969482422","1.5","4.30000019073486","0"
"20170102","성동","6.19999980926514","3.29999995231628","10.1000003814697","76.5","57.9000015258789","90.3000030517578","1.5","4.19999980926514","0"
"20170102","성북","6.19999980926514","3.90000009536743","9.39999961853027","78.0999984741211","63.0999984741211","90.0999984741211","1.10000002384186","4.19999980926514","0.5"
"20170102","송파","6.5","3.40000009536743","10.3999996185303","75.5","58.2999992370605","92.6999969482422","0.899999976158142","3.5","0"
"20170102","양천","7","3.70000004768372","10.5","77.1999969482422","60.9000015258789","86.5999984741211","1","3.09999990463257","0"
"20170102","영등포","6.69999980926514","2.79999995231628","9.80000019073486","78.3000030517578","65.5","87.5","2.40000009536743","5.09999990463257","0"
"20170102","용산","6.19999980926514","2.59999990463257","9.5","55.5999984741211","41.5999984741211","65.1999969482422","1.5","5.40000009536743","0"
"20170102","은평","5.90000009536743","2.5","8.5","79.6999969482422","67.1999969482422","88.0999984741211","2","5","0.5"
"20170102","종로","6.69999980926514","3.40000009536743","9.80000019073486","75.5999984741211","61.2999992370605","85.3000030517578","1","3.59999990463257","0"
"20170102","중구","5.5","2.59999990463257","8.60000038146973","77.3000030517578","61.5999984741211","91.1999969482422","1.60000002384186","6","0"
"20170102","중랑","6.40000009536743","4.19999980926514","9.19999980926514","77.5999984741211","64.4000015258789","89","1.5","4.59999990463257","0"
"20170103","강남","3.70000004768372","1","7.40000009536743","60.2000007629395","40.4000015258789","77.9000015258789","1","3.90000009536743","0"
"20170103","강동","4.19999980926514","0.400000005960464","7.69999980926514","63","42.7999992370605","81.8000030517578","1.5","5.30000019073486","0"
"20170103","강북","3.59999990463257","-0.200000002980232","8","65.9000015258789","43.2000007629395","77.9000015258789","1.20000004768372","4","0"
"20170103","강서","3.09999990463257","-0.100000001490116","7.19999980926514","71.3000030517578","51.7000007629395","90.5999984741211","1","4.5","0"
"20170103","관악","3.90000009536743","0.800000011920929","7.59999990463257","51.9000015258789","32.7999992370605","72.5","1.10000002384186","3.40000009536743","0"
"20170103","광진","4.19999980926514","0.400000005960464","7.80000019073486","62.2999992370605","41.9000015258789","79.9000015258789","1.39999997615814","4.19999980926514","0"
"20170103","구로","3.59999990463257","0.600000023841858","7.19999980926514","62.2999992370605","47","84.8000030517578","1.20000004768372","5.40000009536743","0"
"20170103","금천","3.90000009536743","0.400000005960464","7.59999990463257","58.5","41.5","75.5","1.70000004768372","4.59999990463257","0"
"20170103","남산","3.09999990463257","-0.200000002980232","7","58.0999984741211","28.2000007629395","86.0999984741211","1.5","5.09999990463257","0"
"20170103","노원","3.90000009536743","-0.200000002980232","8.19999980926514","68.1999969482422","39.4000015258789","89.0999984741211","1","4.09999990463257","0"
"20170103","도봉","2.5","-2.09999990463257","8","69.4000015258789","38","91","0.5","2.90000009536743","0"
"20170103","동대문","3.59999990463257","0","7.59999990463257","66.5","42.4000015258789","84.9000015258789","1.60000002384186","5.69999980926514","0"
"20170103","동작","4.09999990463257","0.800000011920929","7.80000019073486","62.7000007629395","44.7000007629395","84.8000030517578","1.60000002384186","4.90000009536743","0"
"20170103","마포","2.70000004768372","-0.800000011920929","7.5","71.4000015258789","50.7999992370605","89.3000030517578","0.800000011920929","4.30000019073486","0"
"20170103","서대문","2.59999990463257","-1.10000002384186","7.59999990463257","65.1999969482422","43.2999992370605","84.5999984741211","1","4.5","0"
"20170103","서초","4.30000019073486","0.600000023841858","8.19999980926514","60.9000015258789","36.5999984741211","77.5","1.39999997615814","4.40000009536743","0"
"20170103","성동","4","0.600000023841858","8.10000038146973","61.0999984741211","39.2999992370605","82.1999969482422","1.70000004768372","4.80000019073486","0"
