"20140103","서대문","3.2","-0.1","7.8","56.9","42.4","81.6","1","3.7","0"
"20140103","서초","3.9","0.2","9.2","30","12.2","49.9","1","3.9","0"
"20140103","성동","2.9","-0.8","8.6","55.4","32","70.3","1.5","4","0"
"20140103","성북","2.7","0","7","56.8","43.3","76.1","0.5","2.9","0"
"20140103","송파","2.5","-1.8","8.3","56.2","34.5","72.7","0.7","2.7","0"
"20140103","양천","4","0.5","8.3","55.5","38.2","76.4","1.1","4.7","0"
"20140103","영등포","3.7","0.1","8.4","59.1","43","79.9","1.6","5.9","0"
"20140103","용산","4","1.2","8.3","54.5","40.8","76.3","1","4.8","0"
"20140103","은평","3.7","0.4","7.6","48.6","35.4","72.2","1.5","4.6","0"
"20140103","종로","3.9","1.2","8","55.7","42.6","75.7","0.7","3.7","0"
"20140103","중구","2.3","-1.2","6.8","58.7","43.1","79.2","1","4.5","0"
"20140103","중랑","3","-0.1","7.4","55.8","41.6","73.5","1.1","4","0"
"20140104","강남","1.2","-1.2","4.6","54.8","46.8","69.8","1.1","3.3","0"
"20140104","강동","2","-1","5.5","53.3","47.8","61.2","1.2","3.4","0"
"20140104","강북","1.6","-1.9","6","53.7","44.1","62","0.9","3.1","0"
"20140104","강서","0.1","-3.1","4","59.2","46.5","71.5","1.3","3.6","0"
"20140104","관악","0.8","-2.1","4.5","50.3","43.2","63.9","1.1","3.8","0"
"20140104","광진","2","-1.2","5.8","50.1","43.8","60.8","0.1","2.8","0"
"20140104","구로","0.8","-2.1","4.5","51.7","43.6","60.3","1.5","4.3","0"
"20140104","금천","1.1","-1.8","5.4","52.6","45.5","61","1.8","4.2","0"
"20140104","남산","0.7","-2.8","4.8","70.4","60.7","88.8","1.6","3.2","0"
"20140104","노원","1.6","-1.7","6.2","54.1","46.5","68.9","1","3.1","0"
"20140104","도봉","0.6","-2.9","5.3","57.5","45.5","79.3","0.6","3.2","0"
"20140104","동대문","1.7","-1.1","6.1","53","44.7","68.1","0.8","4","0"
"20140104","동작","1.1","-1.9","4.8","49.8","40.9","62.7","1.6","3.3","0"
"20140104","마포","-0.1","-3.2","4.4","57.7","45.4","69.4","1.2","4.1","0"
"20140104","서대문","-0.1","-3.6","4.9","58.7","45.1","82","0.8","3.9","0"
"20140104","서초","2.1","-0.9","6.3","24.1","17.2","37.1","1.1","3.7","0"
"20140104","성동","1.7","-1.7","6.3","47.6","35","61.5","1.4","3.7","0"
"20140104","성북","1","-1.8","4.6","53.7","46.2","62.1","1","3.9","0"
"20140104","송파","1.6","-2.1","5.6","53.3","44.2","67.1","0.8","3","0"
"20140104","양천","0.9","-2","5","48.4","36.9","58.4","1.9","4.1","0"
"20140104","영등포","0.4","-2.8","4.3","56.5","46.5","67","2.5","4.8","0"
"20140104","용산","1.4","-1.6","5.3","52.1","42.4","73","1.5","4","0"
"20140104","은평","0.5","-2.9","4.9","50.1","37","71.9","1.5","3.7","0"
"20140104","종로","1.4","-1.9","5.5","53.6","43.3","70.5","0.8","4.4","0"
"20140104","중구","0.2","-3.5","5.1","55.2","44.5","71.2","1.3","3.6","0"
"20140104","중랑","1.6","-1.3","5.7","51.7","44.4","59.4","1.4","3.9","0"
"20140105","강남","0.6","-1.8","3.8","52.1","34.5","67.3","1","3.5","0"
"20140105","강동","1","-2.1","4.5","55.5","36.9","74","0.9","4.2","0"
"20140105","강북","0.8","-2.3","5.1","50.8","35.4","66.4","1","3","0"
"20140105","강서","-0.6","-3.8","3.5","58.8","35.2","75","1","3","0"
"20140105","관악","0.4","-2.2","4.1","49","31.1","61.4","0.5","3.5","0"
"20140105","광진","1","-1.8","4.4","53.6","37.8","69.8","0.1","2.9","0"
"20140105","구로","0.3","-2.8","3.8","52.3","31.8","65.3","1.1","4.2","0"
"20140105","금천","0.6","-2.4","4.4","52.7","33.1","69.8","1.3","3.8","0"
"20140105","남산","-0.1","-3.3","3.3","70.5","53.6","86.2","1.3","3.1","0"
"20140105","노원","0.6","-2.4","5","53.2","37.2","67.6","0.6","2.1","0"
"20140105","도봉","-0.3","-4.1","4.8","54.6","35.6","69.6","0.4","2.5","0"
"20140105","동대문","0.8","-2","4.9","53.3","36.3","64.3","0.6","4.6","0"
"20140105","동작","0.5","-2.9","4.5","48.7","31","63.5","1.2","4","0"
"20140105","마포","-0.8","-4.1","3.3","55.4","32.7","69.1","0.6","3.6","0"
"20140105","서대문","-0.7","-4.2","3.5","57.9","36.4","76.1","0.8","3.6","0"
"20140105","서초","1.3","-2","5","25.7","3.2","43.1","0.9","4.1","0"
"20140105","성동","0.8","-1.9","5","46.6","28.4","61.1","1.3","4.6","0"
"20140105","성북","0.4","-2.2","3.5","50.7","37.1","60.4","1","3.7","0"
"20140105","송파","0.7","-2.6","5.1","52.8","32.1","72.3","0.4","2.6","0"
"20140105","양천","0.4","-2.7","4.2","47.8","27.3","65.1","1.3","3.5","0"
"20140105","영등포","-0.2","-3.4","3.6","54.7","35.4","68.4","2","4.8","0"
"20140105","용산","0.8","-2.4","4.1","50.6","33.6","62.5","1.2","4.3","0"
"20140105","은평","-0.1","-3.6","3.8","50.8","29.9","68.1","1.2","3.9","0"
"20140105","종로","0.6","-2.2","4.5","54.3","36.5","70.2","0.6","4","0"
"20140105","중구","-0.5","-3.9","3.2","54.6","36.6","71.7","1.2","3.7","0"
"20140105","중랑","0.9","-1.8","4.3","52.1","37.7","63.6","1","3.9","0"
"20140106","강남","1.6","-2.8","5.8","57.4","41.8","70.9","0.5","2.8","0"
"20140106","강동","1.9","-2.9","6.6","57.7","41","74.4","0.4","2.9","0"
"20140106","강북","1.7","-2.7","9.8","56.7","34.5","71.4","0.8","3.3","0"
"20140106","강서","1.5","-2.6","5.6","64","45.8","81.6","1","3.1","0"
"20140106","관악","2.1","-1.3","6.4","55.7","39.1","67.4","0.2","2.8","0"
"20140106","광진","2.1","-2.4","7.8","54.6","36.2","68.8","0","2.5","0"
"20140106","구로","2.3","-1.3","6.1","58.2","42.1","70.1","1","3.6","0"
"20140106","금천","2.1","-1.8","6.9","60.7","43.4","74","1","2.9","0"
"20140106","남산","1.4","-2.9","6","78.4","60.2","99.9","1.2","2.9","0"
"20140106","노원","1.3","-3.7","6.6","61.3","41.9","81.2","0.5","2.6","0"
"20140106","도봉","0.4","-4.9","5.9","62.9","41.3","83.3","0.2","2.9","0"
"20140106","동대문","1.8","-2.9","6.6","57.2","39.9","72","0.6","2.9","0"
"20140106","동작","2.2","-1.5","6.2","54.7","38.5","67","1.2","3.3","0"
"20140106","마포","1.2","-3.2","6.2","61.2","40.9","75.5","0.3","3","0"
"20140106","서대문","1.2","-2.7","5.9","59.8","42.2","71.8","1.1","4","0"
"20140106","서초","2.4","-1.7","7.4","31.1","12.6","44","0.8","2.5","0"
"20140106","성동","2","-2.7","7.3","51.9","29.9","73.8","0.9","2.6","0"
"20140106","성북","1.4","-2.8","4.9","57.4","42.9","72.8","0.5","2.7","0"
"20140106","송파","1.3","-4.3","7","55.7","35.9","78.2","0.4","1.9","0"
"20140106","양천","2.4","-1.9","6.5","54.9","36.3","74.3","0.8","3.4","0"
"20140106","영등포","2","-2.2","6.5","60.9","42.2","75.9","1.1","4.9","0"
