"관측일자","지점명","평균기온(℃)","최저기온(℃)","최대기온(℃)","평균습도(%)","최저습도(%)","최고습도(%)","평균풍속(m/s)","최대풍속(m/s)","강수량(mm)"
"20100101","강남","-7.3","-11.3","-3.3","48.7","34.3","60.5","0.7","2.7","0"
"20100101","강동","-7.1","-11.9","-2.4","47.9","33","60.7","1.4","4.3","0"
"20100101","강북","-7.7","-12.2","-3.8","47.1","34.7","56.2","1.1","4.1","0"
"20100101","강서","-7.2","-11.9","-2.9","50.2","34","64.3","1.8","5.2","0"
"20100101","관악","-6.9","-10.9","-3.1","46.8","32","57.3","1","3.8","0"
"20100101","광진","-7.2","-12.3","-2.6","47","33.5","57.8","1.3","3.4","0"
"20100101","구로","-6.6","-10.9","-2.6","47.5","31.9","57.8","1.8","4.3","0"
"20100101","금천","-6.8","-11.6","-2.8","48.7","34.5","58.9","1.5","5.4","0"
"20100101","남산","-7.8","-13.1","-3.7","51.4","34.7","62.3","1.5","3.5","0"
"20100101","노원","-7.9","-13.6","-3.8","46.6","36.2","57.1","0.9","3.3","0"
"20100101","도봉","-8.2","-13.9","-3.6","49.6","33.9","66.2","0.7","3.2","0"
"20100101","동대문","-7.4","-12.5","-2.9","48.7","33.5","60.6","1.5","3.8","0"
"20100101","동작","-6.9","-11.1","-3.1","47.2","33","57.1","1.9","5.6","0"
"20100101","마포","-7.3","-12.4","-2.8","48.3","31.1","61","1.3","3.6","0"
"20100101","서대문","-7.7","-12.6","-3.6","48","32.9","59.4","2.4","7.8","0"
"20100101","서초","-6.3","-11.1","-2.4","46.7","30","56.7","1.4","4.1","0"
"20100101","성동","-7.1","-12.2","-1.7","46.5","30.2","57.8","1.4","3.4","0"
"20100101","성북","-8.1","-12.6","-4.2","47.4","35.4","57.2","1.3","3.8","0"
"20100101","송파","-7.6","-13.1","-3.1","48.7","31.6","58.1","0.8","2.9","0"
"20100101","양천","-6.6","-11.2","-2.8","47.3","30.9","59.1","1.6","4.7","0"
"20100101","영등포","-6.9","-11.4","-2.9","49","32.1","63.1","2.1","5.4","0"
"20100101","용산","-6.5","-10.6","-2.6","44.4","30","55.5","1.4","4.1","0"
"20100101","은평","-7.3","-12.1","-3.2","46.3","31.9","57.8","1.9","5.5","0"
"20100101","종로","-7","-10.9","-3.1","44.8","33.3","55.4","1","2.6","0"
"20100101","중구","-8.1","-13.1","-4.3","47.5","34.8","57.6","1.1","3.2","0"
"20100101","중랑","-7.6","-11.9","-3.2","44.8","33.8","58.4","1.3","5","0"
"20100102","강남","-2.6","-6.3","0.8","75.1","57.9","89.3","1.2","4.7","1.5"
"20100102","강동","-2.3","-5.9","0.7","74.3","54.1","89.6","2.1","6.6","1.5"
"20100102","강북","-2.6","-6.2","1.9","72.8","51.9","85.7","1.3","4.4","1"
"20100102","강서","-2.7","-6.6","0.2","75.7","59","87.9","2.2","5.6","0.5"
"20100102","관악","-2.4","-6.4","0.4","73.8","57.2","87.6","1.5","4.8","0.5"
"20100102","광진","-2.2","-5.8","1.5","74.7","54.8","88.5","1.8","5.5","1"
