"관측일자","지점명","평균기온(℃)","최저기온(℃)","최대기온(℃)","평균습도(%)","최저습도(%)","최고습도(%)","평균풍속(m/s)","최대풍속(m/s)","강수량(mm)"
"20090114","서대문","-7.9","-9.7","-5.5","29.5","25.1","34.9","2","5.1","0"
"20090115","강남","-3.7","-8.9","-1.7","31.6","17.5","45.3","1","3.9","0"
"20090115","광진","-3.1","-8.5","-1.2","32.4","16.8","45.9","1.4","3.6","0"
"20090115","구로","-2.9","-3.4","-2.4","40.7","36.5","43.5","1.6","3.6","0"
"20090115","금천","-7.9","-8.2","-7.7","28.7","27.1","30.3","1.6","2.6","0"
"20090115","노원","-2.6","-3","-2.1","43.5","39.7","46.4","0.9","2","0"
"20090115","동대문","-2.3","-3","-1.4","38.6","20.9","50.6","1.1","4.6","0"
"20090115","서대문","-6.7","-12.1","-2.4","33","17.1","49.1","1.4","4","0"
"20090115","서초","-3.3","-7.2","-1.2","30.9","14.7","45.2","1.7","5","0"
"20090116","강남","-3","-4.4","0.1","68.3","40.8","88","0.6","2","1"
"20090116","광진","-2.8","-4.1","0.2","68.5","40.2","87.5","1.3","2.7","0"
"20090116","구로","-2.1","-3.6","1.1","70.3","42.1","89.9","1.6","3.4","1"
"20090116","금천","-3.4","-3.5","-3.4","85.6","85.4","85.7","1.3","1.5","0"
"20090116","남산","-0.8","-0.8","-0.7","4.7","4.7","4.9","1.2","1.5","0.5"
"20090116","노원","-3.4","-5.2","0.5","67.8","42.3","85.3","0.9","2.6","0.5"
"20090116","동대문","-3","-4.7","0.3","69.7","41.6","89.8","1.6","3.9","0.5"
"20090116","마포","0.1","0","0.3","75.7","74.3","76.9","0.9","1.6","0.5"
"20090116","서대문","-3.1","-4.9","0.7","73.4","48.9","89.4","2.3","5.7","1"
"20090116","서초","-0.1","-0.7","0.5","78.8","75.8","81.5","1.1","1.8","1.5"
"20090116","영등포","0.4","-0.3","0.9","74","72","76.4","1.7","2.5","0.5"
"20090119","강남","2.9","0.9","5.4","35.3","21.7","55.7","1.7","5.4","0"
"20090119","광진","3.4","1.2","5.7","34.9","20.2","51.4","2","5.2","0"
"20090119","구로","2.8","0.7","4.9","38.1","21.4","57.1","2.6","6.6","0"
"20090119","금천","2.6","0.1","5.6","39.6","22","57.8","2.1","6.1","0"
"20090119","남산","2.1","-0.4","4.7","4.7","4.5","5.3","1.6","4","0"
